web-scraper-order,web-scraper-start-url,links,links-href,Name,Phone,Address,Website,Website-href,Email,Email-href,Pages,Pages-href
"1649719594-38","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Allied World Reinsurance Co","https://www.yellowpages.com/new-york-ny/mip/allied-world-reinsurance-co-463052583","Allied World Reinsurance Co","(646) 794-0500","199 Water St # 24New York, NY 10038","Visit Website","https://www.alliedworldinsurance.com/","Email Business","mailto:info@awac.com","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649719850-64","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Allstate Personal Financial Representative: Patrick Kraal","https://www.yellowpages.com/new-york-ny/mip/allstate-personal-financial-representative-patrick-kraal-567893175","Allstate Personal Financial Representative: Patrick Kraal","(415) 519-0469","217 Broadway Rm 309New York, NY 10007","Visit Website","https://agents.allstate.com/patrick-kraal-new-york-ny.html","Email Business","mailto:patrickkraal@allstate.com","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649719333-5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","The Drake Insurance Agency","https://www.yellowpages.com/new-york-ny/mip/the-drake-insurance-agency-12116157","The Drake Insurance Agency","(212) 683-9898","830 Avenue Of The AmericasNew York, NY 10001","Visit Website","https://www.thedrakeagency.com/","Email Business","mailto:Adam@thedrakeagency.com","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719798-60","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Insurance Information Institute","https://www.yellowpages.com/new-york-ny/mip/insurance-information-institute-496615097","Insurance Information Institute","(212) 346-5500","110 William StNew York, NY 10038","Visit Website","http://www.iii.org/","Email Business","mailto:publications@iii.org","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649720114-88","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Farmers Insurance - Yubao Dai","https://www.yellowpages.com/new-york-ny/mip/farmers-insurance-yubao-dai-531566291","Farmers Insurance - Yubao Dai","(347) 732-4049","47 E Broadway Rm 208New York, NY 10002","Visit Website","https://agents.farmers.com/ny/new-york/yubao-dai?SourceID=AMPALFYXAG&utm_source=Powerlistings&utm_medium=Local&y_source=1_Mjk5MzUwNi01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","Email Business","mailto:ydai@farmersagent.com","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649719544-31","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","LIFE 143","https://www.yellowpages.com/new-york-ny/mip/life-143-537372684","LIFE 143","(718) 878-6484","61 Broadway Rm 2770New York, NY 10006","Visit Website","http://www.life143.net/","Email Business","mailto:info@life143.com","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649719532-30","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Gotham Brokerage Co., Inc.","https://www.yellowpages.com/new-york-ny/mip/gotham-brokerage-co-inc-459500023","Gotham Brokerage Co., Inc.","(212) 406-7300","1 Exchange PlzNew York, NY 10006","Visit Website","http://www.gothambrokerage.com/","Email Business","mailto:jeffs@gothambrokerage.com","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719412-16","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","York Risk Service Group","https://www.yellowpages.com/new-york-ny/mip/york-risk-service-group-503050171","York Risk Service Group","(646) 313-4040","1 Whitehall StNew York, NY 10004","Visit Website","http://yorkrsg.com/","null","null","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719623-40","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Argo Group US","https://www.yellowpages.com/new-york-ny/mip/argo-group-us-480947803","Argo Group US","(212) 732-2602","127 John StNew York, NY 10038","Visit Website","http://argolimited.com/","null","null","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649719696-46","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","New York Life Insurance","https://www.yellowpages.com/new-york-ny/mip/new-york-life-insurance-21090261","New York Life Insurance","(212) 323-3020","7 Division StNew York, NY 10002","Visit Website","http://www.newyorklife.com/","null","null","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649719967-74","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Barbara Grimaldi: Allstate Insurance","https://www.yellowpages.com/new-york-ny/mip/barbara-grimaldi-allstate-insurance-543703091","Barbara Grimaldi: Allstate Insurance","(212) 759-3920","227 E 56th St Rm 300New York, NY 10022","null","null","null","null","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649719602-39","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Aon Consulting","https://www.yellowpages.com/new-york-ny/mip/aon-consulting-479742123","Aon Consulting","(212) 441-2000","199 Water StNew York, NY 10038","Visit Website","http://www.aon.com/","null","null","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649719730-51","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","New South Insurance Co","https://www.yellowpages.com/new-york-ny/mip/new-south-insurance-co-462706021","New South Insurance Co","(212) 380-9500","59 Maiden LnNew York, NY 10038","Visit Website","http://nationalgeneral.com/","Email Business","mailto:commissioner@sic.state.ny.us","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649719905-71","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Farmers Insurance - George Sainteus","https://www.yellowpages.com/new-york-ny/mip/farmers-insurance-george-sainteus-558921496","Farmers Insurance - George Sainteus","(212) 920-6935","2374 Adam Clayton Powell Jr Blvd Fl 2New York, NY 10030","Visit Website","https://agents.farmers.com/ny/new-york/george-sainteus?SourceID=AMPALFYXAG&utm_source=Powerlistings&utm_medium=Local&y_source=1_MzgxMjU2My01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","Email Business","mailto:gsainteus@farmersagent.com","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649719485-24","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Atlantic Agents","https://www.yellowpages.com/new-york-ny/mip/atlantic-agents-495884458","Atlantic Agents","(212) 785-8146","95 Wall St Apt 1101New York, NY 10005","Visit Website","http://www.atlantic-agents.com/","null","null","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649720092-86","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","New York Life Insurance Company","https://www.yellowpages.com/new-york-ny/mip/new-york-life-insurance-company-10888941","New York Life Insurance Company","(212) 576-7000","51 Madison AveNew York, NY 10010","Visit Website","http://www.newyorklife.com/","Email Business","mailto:agd123@aol.com","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649719514-28","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Nausch Hogan & Murray Inc","https://www.yellowpages.com/new-york-ny/mip/nausch-hogan-murray-inc-503292758","Nausch Hogan & Murray Inc","(212) 480-4200","180 Maiden LnNew York, NY 10038","Visit Website","http://www.nhmurray.com/","Email Business","mailto:cdavis@nhmurray.com","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649720147-91","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","J & S Coverage Inc","https://www.yellowpages.com/new-york-ny/mip/j-s-coverage-inc-29611945","J & S Coverage Inc","(212) 941-1813","109 Lafayette St Rm 705New York, NY 10013","Visit Website","http://www.jnscoverage.com/","Email Business","mailto:slin906954@aol.com","2","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=2"
"1649719429-18","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Hip Health Plan of New York","https://www.yellowpages.com/new-york-ny/mip/hip-health-plan-of-new-york-451911113","Hip Health Plan of New York","(646) 447-5000","55 Water StNew York, NY 10041","Visit Website","http://emblemhealth.com/","null","null","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719380-12","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Nationwide Wholesale Mortgage","https://www.yellowpages.com/new-york-ny/mip/nationwide-wholesale-mortgage-469901394","Nationwide Wholesale Mortgage","(212) 947-3045","2 Penn PlzNew York, NY 10121","Visit Website","http://www.nationwide.com/","null","null","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719949-73","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Robert L Stevenson II - State Farm Insurance Agent","https://www.yellowpages.com/new-york-ny/mip/robert-l-stevenson-ii-state-farm-insurance-agent-457331841","Robert L Stevenson II - State Farm Insurance Agent","(212) 397-0580","200 Central Park S Apt 110New York, NY 10019","null","null","null","null","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649719317-3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Paramount Insurance Co","https://www.yellowpages.com/new-york-ny/mip/paramount-insurance-co-482120505","Paramount Insurance Co","(212) 591-9500","1 Park Ave 15th FlNew York, NY 10016","Visit Website","http://www.mcarta.com/en/welcome.jsp","Email Business","mailto:claims@mcarta.com","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719304-1","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","B David Kane Agency Inc","https://www.yellowpages.com/new-york-ny/mip/b-david-kane-agency-inc-495390740","B David Kane Agency Inc","(212) 481-4800","171 Madison Ave Rm 1000New York, NY 10016","Visit Website","http://xtend.com/","Email Business","mailto:mbutler@butlerkane.com","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719782-58","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","State Farm Insurance","https://www.yellowpages.com/new-york-ny/mip/state-farm-insurance-7670660","State Farm Insurance","(212) 966-5008","265 Canal St Ste 517New York, NY 10013","Visit Website","http://www.statefarm.com/","null","null","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649720008-76","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Lloyds Planning Services","https://www.yellowpages.com/new-york-ny/mip/lloyds-planning-services-512787324","Lloyds Planning Services","(212) 689-0431","51 E 42nd St Rm 415New York, NY 10017","Visit Website","http://www.lloydsplanningllc.com/","Email Business","mailto:jla@atalantasosnoff.com","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649719346-7","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Campbell Solberg Associates, Inc.","https://www.yellowpages.com/new-york-ny/mip/campbell-solberg-associates-inc-479704262","Campbell Solberg Associates, Inc.","(212) 843-4343","129 W 27th StNew York, NY 10001","Visit Website","http://campbellsolberg.com/","Email Business","mailto:rsolberg@campbellsolberg.com","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719434-19","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","World Insurance Associates","https://www.yellowpages.com/new-york-ny/mip/world-insurance-associates-561272573","World Insurance Associates","(212) 279-7700","85 Broad St 18th FlNew York, NY 10004","Visit Website","https://locations.worldinsurance.com/world-insurance-associates-llc-90e2a5dbeb9d?y_source=1_MjIyNTg0NDktNTUzLWxvY2F0aW9uLndlYnNpdGU%3D","null","null","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719822-61","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Lee Harold L & Sons Inc","https://www.yellowpages.com/new-york-ny/mip/lee-harold-l-sons-inc-2938162","Lee Harold L & Sons Inc","(212) 962-6656","31 Pell StNew York, NY 10013","Visit Website","http://www.leeins.com/","Email Business","mailto:mail@leeins.com","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649720225-96","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","American Transit Insurance","https://www.yellowpages.com/brooklyn-ny/mip/american-transit-insurance-471892617","American Transit Insurance","(212) 857-8200","1 Metrotech Ctr Fl 7Brooklyn, NY 11201","Visit Website","http://www.american-transit.com/","Email Business","mailto:businessdevelopmentgroup@american-transit.com","2","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=2"
"1649719450-20","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","CPS Dental","https://www.yellowpages.com/new-york-ny/mip/cps-dental-451913517","CPS Dental","(212) 675-5745","11 Hanover Sq Fl 8New York, NY 10005","Visit Website","https://www.cpsdentalinc.com/","Email Business","mailto:udcsps@mail.idt.net","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719373-11","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","State Farm: Kevin Leong","https://www.yellowpages.com/new-york-ny/mip/state-farm-kevin-leong-479805577","State Farm: Kevin Leong","(212) 807-1700","134 W 20th StNew York, NY 10011","Visit Website","https://www.statefarm.com/agent/US/NY/New-York/Kevin-Leong-FKYNP1YS000","Email Business","mailto:kyong@krheeinsurance.com","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719878-68","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Nationwide Insurance: Jo Ann Prescott","https://www.yellowpages.com/brooklyn-ny/mip/nationwide-insurance-jo-ann-prescott-526877150","Nationwide Insurance: Jo Ann Prescott","(718) 627-9300","81 Prospect StBrooklyn, NY 11201","Visit Website","https://agency.nationwide.com/jo-ann-prescott-in-brooklyn-ny","Email Business","mailto:joann_prescott1_agency@nwagent.com","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649719311-2","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Albert G Ruben & Co Inc","https://www.yellowpages.com/new-york-ny/mip/albert-g-ruben-co-inc-473993562","Albert G Ruben & Co Inc","(212) 627-7400","171 Madison AveNew York, NY 10016","Visit Website","http://www.aon.com/","Email Business","mailto:ruben@aon.com","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719464-21","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Schaefer Insurance","https://www.yellowpages.com/new-york-ny/mip/schaefer-insurance-456424452","Schaefer Insurance","(212) 925-9070","73 Spring StNew York, NY 10012","Visit Website","http://schaeferinsurance.com/","null","null","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719567-35","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Hanlon Agency","https://www.yellowpages.com/new-york-ny/mip/hanlon-agency-560918180","Hanlon Agency","(212) 920-7910","30 Wall St 8th FlNew York, NY 10005","Visit Website","https://www.hanlonagency.com/","null","null","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
